"Axis-limits","x","obs","calc","bkg","diff","zero","Bi","Li2Te","LiBi","tick-pos","diff/sigma"
" ",65.12356359,1114.0,1172.437600197972,912.6355952586193,-320.63760019797195," "," "," "," "," ",-1.7508533497927088
" ",65.14982415,1193.0,1162.783645582726,912.3740695770742,-231.98364558272596," "," "," "," "," ",0.8748263285494277
" ",65.17608471,1092.0,1153.938005326776,912.1147907957146,-324.13800532677595," "," "," "," "," ",-1.8743293232099334
" ",65.20234528,1136.0,1145.8564697105262,911.8577220831007,-272.0564697105262," "," "," "," "," ",-0.29243693747925015
" ",65.22860585000001,1126.0,1138.4986821933621,911.6028258846695,-274.6986821933621," "," "," "," "," ",-0.3724732052032105
" ",65.25486641,1136.0,1131.826995591371,911.3500637390824,-258.0269955913711," "," "," "," "," ",0.12381112763361796
" ",65.28112698,1112.0,1125.8076363438452,911.0993960098424,-276.00763634384515," "," "," "," "," ",-0.4140634980412182
" ",65.30738754,1029.0,1120.4090279221682,910.8507825741227,-353.6090279221682," "," "," "," "," ",-2.8495835910798832
" ",65.3336481,1098.0,1115.6067368039314,910.6041821700439,-279.8067368039314," "," "," "," "," ",-0.5313463514662076
" ",65.35990867000001,1097.0,1111.3761813406113,910.3595527043312,-276.5761813406113," "," "," "," "," ",-0.43405047193973706
" ",65.38616923,1054.0,1107.6983068435804,910.116851546569,-315.89830684358043," "," "," "," "," ",-1.654018218786766
" ",65.4124298,1108.0,1104.557226982014,909.8760348975657,-258.75722698201406," "," "," "," "," ",0.1034280912268248
" ",65.43869037,1088.0,1101.9407834577876,909.6370584571421,-276.14078345778756," "," "," "," "," ",-0.4226420787421488
" ",65.46495093,1012.0,1099.839063868722,909.3998771630964,-350.03906386872194," "," "," "," "," ",-2.761197353582978
" ",65.49121149,1065.0,1098.246442668832,909.1644450324756,-295.44644266883205," "," "," "," "," ",-1.0187564604139376
" ",65.51747206,1085.0,1097.1579597005698,908.930715365634,-274.3579597005698," "," "," "," "," ",-0.36910151930101903
" ",65.54373263000001,1113.0,1096.5712463130167,908.6986409426592,-245.77124631301666," "," "," "," "," ",0.49244420539038986
" ",65.56999318999999,1073.0,1096.4847448402938,908.4681738630675,-285.68474484029383," "," "," "," "," ",-0.7169452324606485
" ",65.59625376,979.0,1096.8973664901825,908.2392653065292,-380.09736649018254," "," "," "," "," ",-3.7680161373827814
" ",65.62251432,1060.0,1097.8060630481918,908.0118661672456,-300.00606304819183," "," "," "," "," ",-1.1612040027160397
" ",65.64877488,1010.0,1099.2068533233387,907.7859264641438,-351.4068533233387," "," "," "," "," ",-2.806968478917705
" ",65.67503545,1014.0,1101.0888013099575,907.5613956270644,-349.2888013099575," "," "," "," "," ",-2.7349118361119755
" ",65.70129601,1040.0,1103.4359677241832,907.3382227732751,-325.6359677241832," "," "," "," "," ",-1.9670658546045374
" ",65.72755658,1042.0,1106.2223104761304,907.1163561330848,-326.42231047613035," "," "," "," "," ",-1.9895371975743623
" ",65.75381715,1044.0,1109.4100252509002,906.895743669162,-327.61002525090015," "," "," "," "," ",-2.024389450007246
" ",65.78007771,1045.0,1112.9446633181956,906.6763328428802,-330.14466331819557," "," "," "," "," ",-2.1018281407303983
" ",65.80633827,1046.0,1116.7557807264818,906.4580704724501,-332.9557807264818," "," "," "," "," ",-2.1877419201845796
" ",65.83259884,1009.0,1120.7498551085246,906.2409029262143,-373.94985510852456," "," "," "," "," ",-3.5180450004509582
" ",65.85885941,987.0,1124.8149937956593,906.0247763109626,-400.01499379565934," "," "," "," "," ",-4.386699604999968
" ",65.88511996999999,1047.0,1128.8192473651573,905.809636329169,-344.01924736515724," "," "," "," "," ",-2.528611707553855
" ",65.91138054,1063.0,1132.6156160471533,905.5954280598474,-331.81561604715324," "," "," "," "," ",-2.135207249977487
