"Instparm: Type","PXC"
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: Polariz.",      0.70
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",      5.00
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Azimuth",      0.00
"Instparm: Source","CuKa"
"Instparm: Bank",      1.00
"Samparm: InstrName",
"Samparm: Scale",      0.07
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
11.3682,7289,0.000137193,7472.69,7472.69,0.807931
11.3944,7268,0.000137589,7466.49,7466.49,0.809791
11.4207,7306,0.000136874,7460.28,7460.28,0.811651
11.447,7261,0.000137722,7454.08,7454.08,0.813511
11.4732,7204,0.000138812,7447.89,7447.89,0.815371
11.4995,7312,0.000136761,7441.7,7441.7,0.817231
11.5258,7249,0.00013795,7435.51,7435.51,0.819091
11.552,7129,0.000140272,7429.32,7429.32,0.820951
11.5783,7343,0.000136184,7423.13,7423.13,0.822811
11.6045,7252,0.000137893,7416.95,7416.95,0.824671
11.6308,6968,0.000143513,7410.77,7410.77,0.826531
11.6571,7218,0.000138543,7404.6,7404.6,0.82839
11.6833,7244,0.000138045,7398.43,7398.43,0.83025
11.7096,7153,0.000139801,7392.26,7392.26,0.83211
11.7358,7245,0.000138026,7386.09,7386.09,0.833969
11.7621,7084,0.000141163,7379.93,7379.93,0.835829
11.7884,7174,0.000139392,7373.76,7373.76,0.837688
11.8146,7171,0.000139451,7367.61,7367.61,0.839548
11.8409,7220,0.000138504,7361.45,7361.45,0.841407
11.8671,7159,0.000139684,7355.3,7355.3,0.843267
11.8934,7142,0.000140017,7349.15,7349.15,0.845126
11.9197,7068,0.000141483,7343,7343,0.846985
11.9459,7135,0.000140154,7336.86,7336.86,0.848845
11.9722,7221,0.000138485,7330.72,7330.72,0.850704
11.9984,6985,0.000143164,7324.58,7324.58,0.852563
12.0247,7056,0.000141723,7318.45,7318.45,0.854422
12.051,7206,0.000138773,7312.32,7312.32,0.856281
12.0772,7101,0.000140825,7306.19,7306.19,0.85814
12.1035,7144,0.000139978,7300.06,7300.06,0.859999
12.1297,7010,0.000142653,7293.94,7293.94,0.861858
12.156,7024,0.000142369,7287.82,7287.82,0.863717
12.1823,7046,0.000141924,7281.7,7281.7,0.865576
12.2085,7152,0.000139821,7275.59,7275.59,0.867435
12.2348,7164,0.000139587,7269.47,7269.47,0.869294
12.261,6955,0.000143781,7263.37,7263.37,0.871152
12.2873,7062,0.000141603,7257.26,7257.26,0.873011
12.3136,6984,0.000143184,7251.16,7251.16,0.87487
12.3398,6912,0.000144676,7245.06,7245.06,0.876728
12.3661,7002,0.000142816,7238.96,7238.96,0.878587
12.3923,6978,0.000143308,7232.87,7232.87,0.880445
12.4186,7133,0.000140193,7226.78,7226.78,0.882304
12.4449,7119,0.000140469,7220.69,7220.69,0.884162
12.4711,7056,0.000141723,7214.6,7214.6,0.88602
12.4974,6965,0.000143575,7208.52,7208.52,0.887879
12.5237,6950,0.000143885,7202.44,7202.44,0.889737
12.5499,6869,0.000145582,7196.36,7196.36,0.891595
12.5762,6990,0.000143062,7190.29,7190.29,0.893453
12.6024,7031,0.000142227,7184.22,7184.22,0.895311
12.6287,6949,0.000143906,7178.15,7178.15,0.89717
12.655,6973,0.00014341,7172.09,7172.09,0.899028
12.6812,7113,0.000140588,7166.03,7166.03,0.900886
12.7075,7023,0.000142389,7159.97,7159.97,0.902743
12.7337,6927,0.000144363,7153.91,7153.91,0.904601
12.76,6921,0.000144488,7147.86,7147.86,0.906459
12.7863,6829,0.000146434,7141.81,7141.81,0.908317
12.8125,7049,0.000141864,7135.76,7135.76,0.910175
12.8388,6979,0.000143287,7129.72,7129.72,0.912032
12.865,7058,0.000141683,7123.68,7123.68,0.91389
12.8913,6889,0.000145159,7117.64,7117.64,0.915748
12.9176,6999,0.000142878,7111.6,7111.6,0.917605
12.9438,6954,0.000143802,7105.57,7105.57,0.919463
12.9701,6732,0.000148544,7099.54,7099.54,0.92132
12.9963,6949,0.000143906,7093.51,7093.51,0.923178
13.0226,6967,0.000143534,7087.49,7087.49,0.925035
13.0489,6788,0.000147319,7081.47,7081.47,0.926892
13.0751,6834,0.000146327,7075.45,7075.45,0.928749
13.1014,6977,0.000143328,7069.43,7069.43,0.930607
13.1276,7060,0.000141643,7063.42,7063.42,0.932464
13.1539,6913,0.000144655,7057.41,7057.41,0.934321
13.1802,6976,0.000143349,7051.41,7051.41,0.936178
13.2064,7000,0.000142857,7045.4,7045.4,0.938035
13.2327,7024,0.000142369,7039.4,7039.4,0.939892
13.2589,6898,0.00014497,7033.4,7033.4,0.941749
13.2852,6902,0.000144886,7027.41,7027.41,0.943606
13.3115,7031,0.000142227,7021.42,7021.42,0.945463
13.3377,7031,0.000142227,7015.43,7015.43,0.947319
13.364,6915,0.000144613,7009.44,7009.44,0.949176
13.3903,6976,0.000143349,7003.46,7003.46,0.951033
13.4165,7085,0.000141143,6997.48,6997.48,0.952889
13.4428,7143,0.000139997,6991.5,6991.5,0.954746
13.469,7137,0.000140115,6985.53,6985.53,0.956602
13.4953,7104,0.000140766,6979.56,6979.56,0.958459
13.5216,7087,0.000141103,6973.59,6973.59,0.960315
13.5478,6972,0.000143431,6967.62,6967.62,0.962172
13.5741,7064,0.000141563,6961.66,6961.66,0.964028
13.6003,7170,0.00013947,6955.7,6955.7,0.965884
13.6266,7152,0.000139821,6949.74,6949.74,0.96774
13.6529,7143,0.000139997,6943.79,6943.79,0.969597
13.6791,7033,0.000142187,6937.84,6937.84,0.971453
13.7054,7184,0.000139198,6931.89,6931.89,0.973309
13.7316,7174,0.000139392,6925.94,6925.94,0.975165
13.7579,7089,0.000141064,6920,6920,0.977021
13.7842,7213,0.000138639,6914.06,6914.06,0.978877
13.8104,7282,0.000137325,6908.13,6908.13,0.980732
13.8367,7375,0.000135593,6902.19,6902.19,0.982588
13.8629,7293,0.000137118,6896.26,6896.26,0.984444
13.8892,7252,0.000137893,6890.33,6890.33,0.9863
13.9155,7426,0.000134662,6884.41,6884.41,0.988155
13.9417,7256,0.000137817,6878.49,6878.49,0.990011
13.968,7338,0.000136277,6872.57,6872.57,0.991867
13.9942,7316,0.000136687,6866.65,6866.65,0.993722
14.0205,7356,0.000135943,6860.74,6860.74,0.995577
14.0468,7367,0.00013574,6854.83,6854.83,0.997433
14.073,7336,0.000136314,6848.92,6848.92,0.999288
14.0993,7343,0.000136184,6843.02,6843.02,1.00114
14.1255,7376,0.000135575,6837.12,6837.12,1.003
14.1518,7223,0.000138447,6831.22,6831.22,1.00485
14.1781,7417,0.000134825,6825.32,6825.32,1.00671
14.2043,7467,0.000133923,6819.43,6819.43,1.00856
14.2306,7459,0.000134066,6813.54,6813.54,1.01042
14.2568,7238,0.00013816,6807.65,6807.65,1.01227
14.2831,7329,0.000136444,6801.77,6801.77,1.01413
